species_id,scientific_name,image_url,vegetable,edible,rank
165674,Phleum pratense,https://bs.floristic.org/image/o/0bd39560359703ce00003c31e9e95f9f851df1c5,False,False,species
191880,Vicia sativa,https://bs.floristic.org/image/o/2d78b1ec932e8fa41749ae9f2eab1baabc917fe6,False,False,species
145359,Iris pseudacorus,https://bs.floristic.org/image/o/14d5fbf5fdaaf994789a47eab1cc638f8d048e44,False,False,species
176891,Rumex crispus,https://bs.floristic.org/image/o/6a6ef17a9d39da5969cb33bcd6030afafd514952,False,False,species
176224,Rubus idaeus,https://bs.floristic.org/image/o/f314ae0b8615c650c2492ec0f16964b11a631de9,False,False,species
155000,Medicago lupulina,https://bs.floristic.org/image/o/261eb8ea6e09e73f501315c854a604a5914100a7,False,False,species
101762,Acer campestre,https://bs.floristic.org/image/o/c0b1e2fbc957ecf461b71fd9447f3b23e31b0bf3,False,False,species
114644,Caltha palustris,https://bs.floristic.org/image/o/3114a1567aae7bdf521212887072286fd0f50b39,False,False,species
132717,Epilobium hirsutum,https://bs.floristic.org/image/o/5fff85d7218e63340017bdcdcc323ef26efbce32,False,False,species
170743,Potentilla reptans,https://bs.floristic.org/image/o/cbb89f55b3cb345b1beec06250046640079fccec,False,False,species
117251,Carpinus betulus,https://bs.floristic.org/image/o/17ebe7397d8a58252f3755c4f23cf885ef3e25b7,False,False,species
147398,Lapsana communis,https://bs.floristic.org/image/o/e1c0aa456697d6b67b2e2c246f79dda08782e4e8,False,False,species
1205139,Athyrium filix,https://bs.floristic.org/image/o/081e49b548661f596e399a5744a04b03a6581912,True,True,species
1235562,Betula pubescens,https://bs.floristic.org/image/o/8531ad6f5a55aba51e96361251eeb0ea2db80494,False,False,species
180881,Senecio vulgaris,https://bs.floristic.org/image/o/789db8a83a9ab9719d711d0169221e46ad78e567,False,False,species
119861,Chenopodium album,https://bs.floristic.org/image/o/7210dfc0c2a48bdde194bef37c7b7956974bc1b7,True,True,species
116345,Carex flacca,https://bs.floristic.org/image/o/183ec60f6ea12801282c775fa365ffeabe553464,False,False,species
135953,Eupatorium cannabinum,https://bs.floristic.org/image/o/7c2ebf31a2ec7e835ed895fd8a6a46016758b3d7,False,False,species
137657,Frangula alnus,https://bs.floristic.org/image/o/1a0a2f9c5c5b1f5f3910076ea7a43d868dc39465,False,False,species
1038693,Anemonoides nemorosa,https://bs.floristic.org/image/o/5e99297ccd0f697d33b853ec5e3013eb97a018da,False,False,species
153104,Silene flos-cuculi,https://bs.floristic.org/image/o/54cde4c61064d894d2d9210cdb6d0337d291f0ba,False,False,species
144622,Ilex aquifolium,https://bs.floristic.org/image/o/31da679af36e235fb11dfaf10e86b41f1e0a13e9,False,False,species
182474,Solanum dulcamara,https://bs.floristic.org/image/o/7b15bbcefea0bb4bf6e40a541e05fa08f61cf184,False,False,species
115334,Campanula rotundifolia,https://bs.floristic.org/image/o/dd27efa9636dbb8f998a3169070b8fbd5d242be2,False,False,species
190218,Tussilago farfara,https://bs.floristic.org/image/o/aac55e0d70d06a3a9bfd9bf308060a5862eaed91,False,False,species
175724,Rosa canina,https://bs.floristic.org/image/o/658bff43fbf3b22296b0206094ab2d01852c41e5,False,False,species
118286,Centaurea jacea,https://bs.floristic.org/image/o/e717f6e18e9fe3569d0ee66359986c4a06d25783,False,False,species
155724,Mentha aquatica,https://bs.floristic.org/image/o/04fdf5bbfec0530275456e500ef895fd02514de6,False,False,species
139784,Glyceria fluitans,https://bs.floristic.org/image/o/71c1bd2e2dffcb8d0ff73358b2a2c2ed3acdbfb4,False,False,species
143269,Hordeum vulgare,https://bs.floristic.org/image/o/9e13209784c0388f092df982bed56757cce8b6db,False,False,species
1235453,Convolvulus arvensis,https://bs.floristic.org/image/o/79250f254e938f24393f1121d04db09988bc4771,False,False,species
153004,Luzula campestris,https://bs.floristic.org/image/o/ab30b7b483e521bcb26a1c2a66d2843593dbe66d,False,False,species
147270,Lamium purpureum,https://bs.floristic.org/image/o/dfd80f8ba30a21b35a3dee2a64f08fe97a31ad20,False,False,species
